text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,The men's long cloaks flapped around their ankles as they  marched.,,unknown,,,False,False,"original_sentence=""The men's long cloaks flapped around their ankles as they marched."" physical_attributes=[]",,
1,,"Snape,” said a high, clear voice from the head of the table.",,unknown,,,False,False,"original_sentence='Snape,” said a high, clear voice from the head of the table.' physical_attributes=[]",,
2,0.0,"As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.",a hairless face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.' physical_attributes=[PhysicalAttribute(attribute='a hairless face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='snakelike face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='slits for nostrils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gleaming red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='vertical pupils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male."")]",a hairless face,a hairless face
2,0.0,"As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.",snakelike face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.' physical_attributes=[PhysicalAttribute(attribute='a hairless face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='snakelike face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='slits for nostrils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gleaming red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='vertical pupils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male."")]",snakelike face,snakelike face
2,0.0,"As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.",slits for nostrils,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.' physical_attributes=[PhysicalAttribute(attribute='a hairless face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='snakelike face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='slits for nostrils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gleaming red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='vertical pupils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male."")]",slits for nostrils,slits for nostrils
2,0.0,"As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.",gleaming red eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.' physical_attributes=[PhysicalAttribute(attribute='a hairless face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='snakelike face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='slits for nostrils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gleaming red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='vertical pupils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male."")]",gleaming red eyes,gleaming red eyes
2,0.0,"As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.",vertical pupils,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='As they drew nearer,  however, his face shone through the gloom, hairless, snakelike, with slits for nostrils and  gleaming red eyes whose pupils were vertical.' physical_attributes=[PhysicalAttribute(attribute='a hairless face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a hairless face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='snakelike face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('snakelike face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='slits for nostrils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('slits for nostrils'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gleaming red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('gleaming red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='vertical pupils', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('vertical pupils'), explicitly suggesting the person's gender as male."")]",vertical pupils,vertical pupils
3,1.0,"His red eyes fastened upon  Snape’s black ones with such intensity that some of the watchers looked away, apparently  fearful that they themselves would be scorched by the ferocity of the gaze.",red eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His red eyes fastened upon Snape’s black ones with such intensity that some of the watchers looked away, apparently fearful that they themselves would be scorched by the ferocity of the gaze.' physical_attributes=[PhysicalAttribute(attribute='red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='black eyes', gender='unknown', reasoning=""The text describes Snape's eyes as 'black' but does not provide a gender indication in this context."")]",red eyes,red eyes
3,1.0,"His red eyes fastened upon  Snape’s black ones with such intensity that some of the watchers looked away, apparently  fearful that they themselves would be scorched by the ferocity of the gaze.",black eyes,male,unknown,The text describes Snape's eyes as 'black' but does not provide a gender indication in this context.,False,True,"original_sentence='His red eyes fastened upon Snape’s black ones with such intensity that some of the watchers looked away, apparently fearful that they themselves would be scorched by the ferocity of the gaze.' physical_attributes=[PhysicalAttribute(attribute='red eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='black eyes', gender='unknown', reasoning=""The text describes Snape's eyes as 'black' but does not provide a gender indication in this context."")]",black eyes,black eyes
4,2.0,"“My Lord,” Yaxley went on, “Dawlish believes an entire party of Aurors will be  used to transfer the boy –“    Voldemort held up a large white hand, and Yaxley subsided at once, watching  resentfully as Voldemort turned back to Snape.",a large white hand,unknown,unknown,"The text describes a hand as 'large white' without any clues about the person's gender, as Voldemort's gender is not explicitly mentioned in this excerpt.",True,False,"original_sentence='“My Lord,” Yaxley went on, “Dawlish believes an entire party of Aurors will be used to transfer the boy –“ Voldemort held up a large white hand, and Yaxley subsided at once, watching resentfully as Voldemort turned back to Snape.' physical_attributes=[PhysicalAttribute(attribute='a large white hand', gender='unknown', reasoning=""The text describes a hand as 'large white' without any clues about the person's gender, as Voldemort's gender is not explicitly mentioned in this excerpt."")]",a large white hand,a large white hand
