text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"When we first met, many of you were young teenagers with bright, beautiful eyes full of dreams for the future.",,unknown,,,False,False,"original_sentence='When we first met, many of you were young teenagers with bright, beautiful eyes full of dreams for the future.' physical_attributes=[]",,
1,,"Today, all thoughts were consumed with the trivial drama of a new addition to the small student body.",,unknown,,,False,False,"original_sentence='Today, all thoughts were consumed with the trivial drama of a new addition to the small student body.' physical_attributes=[]",,
2,0.0,"Jasper looked paralyzed, his lean form ramrod straight, even his honey hair seeming not to react to the air wafting from the vents.",a lean form,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a lean form'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='Jasper looked paralyzed, his lean form ramrod straight, even his honey hair seeming not to react to the air wafting from the vents.' physical_attributes=[PhysicalAttribute(attribute='a lean form', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a lean form'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='honey hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose hair is being described ('honey hair'), explicitly suggesting the person's gender as male."")]",a lean form,a lean form
2,0.0,"Jasper looked paralyzed, his lean form ramrod straight, even his honey hair seeming not to react to the air wafting from the vents.",honey hair,male,male,"The text uses the pronoun 'his' to describe the person whose hair is being described ('honey hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='Jasper looked paralyzed, his lean form ramrod straight, even his honey hair seeming not to react to the air wafting from the vents.' physical_attributes=[PhysicalAttribute(attribute='a lean form', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a lean form'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='honey hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose hair is being described ('honey hair'), explicitly suggesting the person's gender as male."")]",honey hair,honey hair
3,1.0,"Even as she did so, she remembered to tuck one tiny fist under her sharp chin and blink regularly.",a sharp chin,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a sharp chin'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Even as she did so, she remembered to tuck one tiny fist under her sharp chin and blink regularly.' physical_attributes=[PhysicalAttribute(attribute='a sharp chin', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a sharp chin'), explicitly suggesting the person's gender as female."")]",a sharp chin,a sharp chin
4,2.0,"She brushed a tuft of her short, jagged black hair out of her eyes.",short jagged black hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('short jagged black hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She brushed a tuft of her short, jagged black hair out of her eyes.' physical_attributes=[PhysicalAttribute(attribute='short jagged black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('short jagged black hair'), explicitly suggesting the person's gender as female."")]",short jagged black hair,short jagged black hair
5,3.0,"She tossed her short, sandy hair, combing her fingers through it.",short sandy hair,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('short sandy hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She tossed her short, sandy hair, combing her fingers through it.' physical_attributes=[PhysicalAttribute(attribute='short sandy hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('short sandy hair'), explicitly suggesting the person's gender as female."")]",short sandy hair,short sandy hair
6,,"I was used to the way that scent made me feel—the dry ache in my throat, the hollow yearn in my stomach, the automatic tightening of my muscles, the excess flow of venom in my mouth.",,unknown,,,False,False,"original_sentence='I was used to the way that scent made me feel—the dry ache in my throat, the hollow yearn in my stomach, the automatic tightening of my muscles, the excess flow of venom in my mouth.' physical_attributes=[]",,
7,4.0,Imagining how the hot flow of her pulse beneath the weak barrier of her skin would feel under his mouth… I kicked his chair.,a hot pulse,evidence for both,unknown,The attribute describes a body function 'pulse' without specific gender identification; 'her' refers to someone but does not provide a clear physical characteristic that establishes gender.,False,True,"original_sentence='Imagining how the hot flow of her pulse beneath the weak barrier of her skin would feel under his mouth… I kicked his chair.' physical_attributes=[PhysicalAttribute(attribute='a hot pulse', gender='unknown', reasoning=""The attribute describes a body function 'pulse' without specific gender identification; 'her' refers to someone but does not provide a clear physical characteristic that establishes gender.""), PhysicalAttribute(attribute='a weak barrier of skin', gender='unknown', reasoning=""The attribute refers to 'skin' as a body part, but does not specify a gender. The pronouns used ('her' and 'his') indicate different individuals but do not provide clarity on gender based on the physical description."")]",a hot pulse,a hot pulse
7,4.0,Imagining how the hot flow of her pulse beneath the weak barrier of her skin would feel under his mouth… I kicked his chair.,a weak barrier of skin,evidence for both,unknown,"The attribute refers to 'skin' as a body part, but does not specify a gender. The pronouns used ('her' and 'his') indicate different individuals but do not provide clarity on gender based on the physical description.",False,False,"original_sentence='Imagining how the hot flow of her pulse beneath the weak barrier of her skin would feel under his mouth… I kicked his chair.' physical_attributes=[PhysicalAttribute(attribute='a hot pulse', gender='unknown', reasoning=""The attribute describes a body function 'pulse' without specific gender identification; 'her' refers to someone but does not provide a clear physical characteristic that establishes gender.""), PhysicalAttribute(attribute='a weak barrier of skin', gender='unknown', reasoning=""The attribute refers to 'skin' as a body part, but does not specify a gender. The pronouns used ('her' and 'his') indicate different individuals but do not provide clarity on gender based on the physical description."")]",a weak barrier of skin,a weak barrier of skin
