text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Or maybe, just maybe , a small voice whispered in my head, it’s not a joke, silly.",,unknown,,,False,False,"original_sentence='Or maybe, just maybe , a small voice whispered in my head, it’s not a joke, silly.' physical_attributes=[]",,
2,,"The flyers put the usual big, fat lump in my throat, the usual stinging tears in my eyes, and I was glad Edward was out hunting this Saturday.",,unknown,,,False,False,"original_sentence='The flyers put the usual big, fat lump in my throat, the usual stinging tears in my eyes, and I was glad Edward was out hunting this Saturday.' physical_attributes=[]",,
3,1.0,“Wait till he hangs his gun up!” Edward chuckled and ran his free hand through his tousled bronze hair.,tousled bronze hair,male,male,"The text refers to 'he' and 'Edward', indicating the person being described is male, therefore the attribute 'tousled bronze hair' is also attributed to a male.",True,False,"original_sentence='“Wait till he hangs his gun up!” Edward chuckled and ran his free hand through his tousled bronze hair.' physical_attributes=[PhysicalAttribute(attribute='tousled bronze hair', gender='male', reasoning=""The text refers to 'he' and 'Edward', indicating the person being described is male, therefore the attribute 'tousled bronze hair' is also attributed to a male."")]",tousled bronze hair,tousled bronze hair
4,,"It was usually pretty clear on my face when I was telling the truth, and he believed me now.",,male,,,False,False,"original_sentence='It was usually pretty clear on my face when I was telling the truth, and he believed me now.' physical_attributes=[]",,
5,2.0,"Then, suddenly, his face went perfectly smooth and blank.",a smooth face,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('a smooth face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='Then, suddenly, his face went perfectly smooth and blank.' physical_attributes=[PhysicalAttribute(attribute='a smooth face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a smooth face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a blank face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a blank face'), explicitly suggesting the person's gender as male."")]",a smooth face,a smooth face
5,2.0,"Then, suddenly, his face went perfectly smooth and blank.",a blank face,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('a blank face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='Then, suddenly, his face went perfectly smooth and blank.' physical_attributes=[PhysicalAttribute(attribute='a smooth face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a smooth face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a blank face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a blank face'), explicitly suggesting the person's gender as male."")]",a blank face,a blank face
6,,"I wanted the complete experience before I traded in my warm, breakable, pheromoneriddled body for something beautiful, strong… and unknown.",,unknown,,,False,False,"original_sentence='I wanted the complete experience before I traded in my warm, breakable, pheromoneriddled body for something beautiful, strong… and unknown.' physical_attributes=[]",,
7,3.0,"You have to go.”  I said the words, but the fingers of my right hand locked into his bronze hair, my left pressed tighter against the small of his back.",bronze hair,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('bronze hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='You have to go.”   I said the words, but the fingers of my right hand locked into his bronze hair, my left pressed tighter against the small of his back.' physical_attributes=[PhysicalAttribute(attribute='bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('bronze hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='the small of the back', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('the small of the back'), explicitly suggesting the person's gender as male."")]",bronze hair,bronze hair
7,3.0,"You have to go.”  I said the words, but the fingers of my right hand locked into his bronze hair, my left pressed tighter against the small of his back.",the small of the back,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('the small of the back'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='You have to go.”   I said the words, but the fingers of my right hand locked into his bronze hair, my left pressed tighter against the small of his back.' physical_attributes=[PhysicalAttribute(attribute='bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('bronze hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='the small of the back', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('the small of the back'), explicitly suggesting the person's gender as male."")]",the small of the back,the small of the back
8,4.0,"I ran my hand down his stone chest now, tracing across the flat planes of his stomach, just marveling.",a stone chest,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a stone chest'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='I ran my hand down his stone chest now, tracing across the flat planes of his stomach, just marveling.' physical_attributes=[PhysicalAttribute(attribute='a stone chest', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a stone chest'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='the flat planes of a stomach', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose stomach is being referred to, explicitly suggesting the person's gender as male."")]",a stone chest,a stone chest
