novel_name,attribute,count,frequency
gameofthrones1,wrinkled flesh,1,0.16420361247947454
gameofthrones1,papery thin skin,1,0.16420361247947454
gameofthrones1,web of veins,1,0.16420361247947454
gameofthrones1,shape of bones beneath,1,0.16420361247947454
gameofthrones1,guileless blue eyes,1,0.16420361247947454
gameofthrones1,a pretty face,6,0.9852216748768473
gameofthrones1,stiff flesh,1,0.16420361247947454
gameofthrones1,cracked skin,1,0.16420361247947454
gameofthrones1,flaking skin,1,0.16420361247947454
gameofthrones1,mottled black skin,1,0.16420361247947454
gameofthrones1,mottled grey skin,1,0.16420361247947454
gameofthrones1,stony skin,1,0.16420361247947454
gameofthrones1,a small pink hand,1,0.16420361247947454
gameofthrones1,a frail spotted hand,1,0.16420361247947454
gameofthrones1,thin shoulders,1,0.16420361247947454
gameofthrones1,brown eyes,1,0.16420361247947454
gameofthrones1,brown hair,2,0.3284072249589491
gameofthrones1,a small beard,1,0.16420361247947454
gameofthrones1,a maimed left hand,1,0.16420361247947454
gameofthrones1,broad shoulders,5,0.8210180623973727
gameofthrones1,sinewy limbs,1,0.16420361247947454
gameofthrones1,tightness to a face,1,0.16420361247947454
gameofthrones1,tough flesh,1,0.16420361247947454
gameofthrones1,a fringe of thin black hair,1,0.16420361247947454
gameofthrones1,open wounds beneath heavy brows,1,0.16420361247947454
gameofthrones1,a blue as dark as the sea,1,0.16420361247947454
gameofthrones1,thin pale lips,1,0.16420361247947454
gameofthrones1,clenched muscles,1,0.16420361247947454
gameofthrones1,a thin body,1,0.16420361247947454
gameofthrones1,a thin face,2,0.3284072249589491
gameofthrones1,prominent ears,2,0.3284072249589491
gameofthrones1,a sharp nose,2,0.3284072249589491
gameofthrones1,the faintest hint of a mustache on an upper lip,1,0.16420361247947454
gameofthrones1,a purple face,2,0.3284072249589491
gameofthrones1,strong hands,3,0.49261083743842365
gameofthrones1,red eyes,9,1.477832512315271
gameofthrones1,smooth skin,1,0.16420361247947454
gameofthrones1,white skin,1,0.16420361247947454
gameofthrones1,unblemished skin,1,0.16420361247947454
gameofthrones1,pale skin,1,0.16420361247947454
gameofthrones1,a slender body,1,0.16420361247947454
gameofthrones1,a graceful figure,1,0.16420361247947454
gameofthrones1,full breasts,1,0.16420361247947454
gameofthrones1,a narrow waist,1,0.16420361247947454
gameofthrones1,a heart-shaped face,1,0.16420361247947454
gameofthrones1,long fair hair,1,0.16420361247947454
gameofthrones1,shadowed eyes,1,0.16420361247947454
gameofthrones1,heavy brow,1,0.16420361247947454
gameofthrones1,tight mouth,2,0.3284072249589491
gameofthrones1,tight jaw,1,0.16420361247947454
gameofthrones1,red lips,1,0.16420361247947454
gameofthrones1,red red eyes,1,0.16420361247947454
gameofthrones1,dirty brown hair,1,0.16420361247947454
gameofthrones1,sharp steel scraping at the head,1,0.16420361247947454
gameofthrones1,a hole in a face,1,0.16420361247947454
gameofthrones1,gross fat bald head,1,0.16420361247947454
gameofthrones1,pointed teeth,1,0.16420361247947454
gameofthrones1,weeping sores on cheeks,1,0.16420361247947454
gameofthrones1,eyes like nothing human,1,0.16420361247947454
gameofthrones1,mottled green arms,1,0.16420361247947454
gameofthrones1,the color of straw hair,1,0.16420361247947454
gameofthrones1,a fat face,2,0.3284072249589491
gameofthrones1,a sunburnt face,1,0.16420361247947454
gameofthrones1,a peeling face,1,0.16420361247947454
gameofthrones1,a broad chest,1,0.16420361247947454
gameofthrones1,strong-looking arms,1,0.16420361247947454
gameofthrones1,dyed green hands,1,0.16420361247947454
gameofthrones1,a red face,3,0.49261083743842365
gameofthrones1,light brown hair,1,0.16420361247947454
gameofthrones1,a face that was not unpleasant,1,0.16420361247947454
gameofthrones1,tall stature,2,0.3284072249589491
gameofthrones1,green eyes,7,1.1494252873563218
gameofthrones1,golden hair,1,0.16420361247947454
gameofthrones1,pale legs,1,0.16420361247947454
gameofthrones1,skinny legs,1,0.16420361247947454
gameofthrones1,green eye,1,0.16420361247947454
gameofthrones1,black eye,1,0.16420361247947454
gameofthrones1,cool eyes,1,0.16420361247947454
gameofthrones1,a black beard,1,0.16420361247947454
gameofthrones1,pale grey eyes,1,0.16420361247947454
